regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.8,28.3,25.9,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.8,28.3,25.9,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.5,28.3,27.6,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.5,28.3,27.6,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.6,28.3,27.7,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.6,28.3,27.7,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.7,28.3,28.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.7,28.3,28.8,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,28.3,29.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,28.3,29.2,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,28.3,29.7,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,28.3,29.7,ErroTOCF,2024-04-29,2024,4,29
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,28.3,29.6,ErroTOCF,2024-04-29,2024,4,29
